"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "Skill", "TypeScript JSX", "YAML", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\chris\Desktop\dandilion\.claude\rules\challenge-request.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\chris\Desktop\dandilion\.claude\rules\mandatory-review.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 47
"c:\Users\chris\Desktop\dandilion\.claude\rules\no-assumptions.md", "Markdown", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 162
"c:\Users\chris\Desktop\dandilion\.claude\settings.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\chris\Desktop\dandilion\.claude\skills\architecture\SKILL.md", "Skill", 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 292, 596
"c:\Users\chris\Desktop\dandilion\.claude\skills\browser-internals\SKILL.md", "Skill", 0, 0, 0, 0, 380, 0, 0, 0, 0, 0, 0, 376, 756
"c:\Users\chris\Desktop\dandilion\.claude\skills\debugging\SKILL.md", "Skill", 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 313, 635
"c:\Users\chris\Desktop\dandilion\.claude\skills\electron\SKILL.md", "Skill", 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 309, 650
"c:\Users\chris\Desktop\dandilion\.claude\skills\performance\SKILL.md", "Skill", 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 305, 627
"c:\Users\chris\Desktop\dandilion\.claude\skills\review\SKILL.md", "Skill", 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 0, 336, 683
"c:\Users\chris\Desktop\dandilion\.claude\skills\security\SKILL.md", "Skill", 0, 0, 0, 0, 380, 0, 0, 0, 0, 0, 0, 368, 748
"c:\Users\chris\Desktop\dandilion\.claude\skills\state-management\SKILL.md", "Skill", 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 279, 564
"c:\Users\chris\Desktop\dandilion\.claude\skills\testing\SKILL.md", "Skill", 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 282, 568
"c:\Users\chris\Desktop\dandilion\.claude\skills\ui-polish\SKILL.md", "Skill", 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 335, 674
"c:\Users\chris\Desktop\dandilion\.claude\skills\ui\SKILL.md", "Skill", 0, 0, 0, 0, 431, 0, 0, 0, 0, 0, 0, 388, 819
"c:\Users\chris\Desktop\dandilion\.prettierrc.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\chris\Desktop\dandilion\CLAUDE.md", "Markdown", 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 746
"c:\Users\chris\Desktop\dandilion\CONTRIBUTING.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 53
"c:\Users\chris\Desktop\dandilion\README.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 164
"c:\Users\chris\Desktop\dandilion\ROADMAP.md", "Markdown", 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 374
"c:\Users\chris\Desktop\dandilion\Work\BUGS.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 113
"c:\Users\chris\Desktop\dandilion\Work\TODO.md", "Markdown", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 114
"c:\Users\chris\Desktop\dandilion\docs\ARCHITECTURE.md", "Markdown", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 172
"c:\Users\chris\Desktop\dandilion\docs\DEVELOPER.md", "Markdown", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 113
"c:\Users\chris\Desktop\dandilion\docs\PROJECT_STRUCTURE.md", "Markdown", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\chris\Desktop\dandilion\electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 9, 52
"c:\Users\chris\Desktop\dandilion\electron.vite.config.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 7, 3, 62
"c:\Users\chris\Desktop\dandilion\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 11, 2, 77
